method,family,operating_point,device,cr,bpppc,mse,mae,psnr,pae,sa,enc_time_s,dec_time_s,throughput_mbs,num_samples_measured
jpeg2000_cr300,lossy,cr=300,cpu,297.959129497021,0.05369869869869866,1450396.1565064548,917.7240615615615,18.45767879315592,7583.87037037037,14.50924099128814,0.25494647053656755,0.01327619956875289,5.299492040633021,54
jpeg2000_cr400,lossy,cr=400,cpu,396.5377159936496,0.04034930764097432,1882706.209771986,1046.8976389670922,17.32477352727338,8491.703703703704,15.15538045394998,0.24715158501984896,0.013033137553268008,5.46189625584443,54
jpeg2000_cr512,lossy,cr=512,cpu,506.12088663576867,0.03161307140473808,2299279.616247446,1161.4101183996495,16.453206902525604,8824.462962962964,15.702118257025822,0.24170691837315206,0.012808757661669343,5.583048746222486,54
